timestamp,speed,location,latitude,longitude,direction,vehicle_type,data_source,processing_timestamp
2025-08-12 20:00:00,30,"{'type': 'Point', 'coordinates': [-87.722846946613, 41.807779064307]}",,-87.7228469466,W,REAR TO SIDE,chicago_traffic_crashes,2025-08-13 20:54:44.297362
2025-08-12 19:37:00,15,,,,W,FIXED OBJECT,chicago_traffic_crashes,2025-08-13 20:54:44.297362
2025-08-12 19:15:00,30,"{'type': 'Point', 'coordinates': [-87.780355936663, 41.923645091761]}",Y,-87.7803559367,W,REAR END,chicago_traffic_crashes,2025-08-13 20:54:44.297362
2025-08-12 19:11:00,15,"{'type': 'Point', 'coordinates': [-87.745931840325, 41.908465805983]}",,-87.7459318403,N,REAR END,chicago_traffic_crashes,2025-08-13 20:54:44.297362
2025-08-12 19:08:00,25,"{'type': 'Point', 'coordinates': [-87.720103509147, 41.764549946416]}",,-87.7201035091,S,PARKED MOTOR VEHICLE,chicago_traffic_crashes,2025-08-13 20:54:44.297362
2025-08-12 19:00:00,30,"{'type': 'Point', 'coordinates': [-87.613772236779, 41.70204038056]}",,-87.6137722368,S,PARKED MOTOR VEHICLE,chicago_traffic_crashes,2025-08-13 20:54:44.297362
2025-08-12 19:00:00,30,"{'type': 'Point', 'coordinates': [-87.647195861781, 41.881253089928]}",,-87.6471958618,S,PARKED MOTOR VEHICLE,chicago_traffic_crashes,2025-08-13 20:54:44.297362
2025-08-12 19:00:00,30,"{'type': 'Point', 'coordinates': [-87.671992923302, 41.884928607829]}",Y,-87.6719929233,N,PEDESTRIAN,chicago_traffic_crashes,2025-08-13 20:54:44.297362
2025-08-12 19:00:00,30,"{'type': 'Point', 'coordinates': [-87.650209857487, 41.795932037492]}",,-87.6502098575,S,PARKED MOTOR VEHICLE,chicago_traffic_crashes,2025-08-13 20:54:44.297362
2025-08-12 19:00:00,30,"{'type': 'Point', 'coordinates': [-87.76542801903, 41.911280214617]}",Y,-87.765428019,N,ANGLE,chicago_traffic_crashes,2025-08-13 20:54:44.297362
2025-08-12 18:55:00,30,"{'type': 'Point', 'coordinates': [-87.61270192578, 41.816599663664]}",,-87.6127019258,E,PEDALCYCLIST,chicago_traffic_crashes,2025-08-13 20:54:44.297362
2025-08-12 18:55:00,30,"{'type': 'Point', 'coordinates': [-87.668294363399, 41.92519388981]}",,-87.6682943634,N,REAR END,chicago_traffic_crashes,2025-08-13 20:54:44.297362
2025-08-12 18:45:00,15,"{'type': 'Point', 'coordinates': [-87.71519074279, 41.776081387263]}",,-87.7151907428,S,PARKED MOTOR VEHICLE,chicago_traffic_crashes,2025-08-13 20:54:44.297362
2025-08-12 18:40:00,30,"{'type': 'Point', 'coordinates': [-87.653790178363, 41.895060120897]}",,-87.6537901784,N,TURNING,chicago_traffic_crashes,2025-08-13 20:54:44.297362
2025-08-12 18:40:00,30,"{'type': 'Point', 'coordinates': [-87.65353196959, 41.713928065475]}",,-87.6535319696,S,ANGLE,chicago_traffic_crashes,2025-08-13 20:54:44.297362
2025-08-12 18:33:00,30,"{'type': 'Point', 'coordinates': [-87.763788399688, 41.927169080785]}",,-87.7637883997,N,ANGLE,chicago_traffic_crashes,2025-08-13 20:54:44.297362
2025-08-12 18:30:00,10,,,,W,FIXED OBJECT,chicago_traffic_crashes,2025-08-13 20:54:44.297362
2025-08-12 18:30:00,30,"{'type': 'Point', 'coordinates': [-87.630172198939, 41.780096500488]}",,-87.6301721989,W,REAR END,chicago_traffic_crashes,2025-08-13 20:54:44.297362
2025-08-12 18:29:00,30,"{'type': 'Point', 'coordinates': [-87.724637930068, 41.852689875827]}",Y,-87.7246379301,S,TURNING,chicago_traffic_crashes,2025-08-13 20:54:44.297362
2025-08-12 18:22:00,35,"{'type': 'Point', 'coordinates': [-87.597599593571, 41.79516583476]}",,-87.5975995936,E,ANGLE,chicago_traffic_crashes,2025-08-13 20:54:44.297362
2025-08-12 18:22:00,30,"{'type': 'Point', 'coordinates': [-87.626089378443, 41.891805483488]}",,-87.6260893784,E,SIDESWIPE SAME DIRECTION,chicago_traffic_crashes,2025-08-13 20:54:44.297362
2025-08-12 18:20:00,30,"{'type': 'Point', 'coordinates': [-87.651173020484, 41.94257372523]}",,-87.6511730205,W,SIDESWIPE SAME DIRECTION,chicago_traffic_crashes,2025-08-13 20:54:44.297362
2025-08-12 18:19:00,35,"{'type': 'Point', 'coordinates': [-87.575066733953, 41.77968076067]}",,-87.575066734,S,FIXED OBJECT,chicago_traffic_crashes,2025-08-13 20:54:44.297362
2025-08-12 18:15:00,30,"{'type': 'Point', 'coordinates': [-87.717288130979, 41.924490093998]}",,-87.717288131,W,TURNING,chicago_traffic_crashes,2025-08-13 20:54:44.297362
2025-08-12 18:05:00,30,"{'type': 'Point', 'coordinates': [-87.735096723816, 41.874280733946]}",Y,-87.7350967238,S,ANGLE,chicago_traffic_crashes,2025-08-13 20:54:44.297362
2025-08-12 18:05:00,30,"{'type': 'Point', 'coordinates': [-87.720826574039, 41.967776000122]}",,-87.720826574,N,ANGLE,chicago_traffic_crashes,2025-08-13 20:54:44.297362
2025-08-12 18:00:00,30,"{'type': 'Point', 'coordinates': [-87.68832019253, 41.946839991005]}",,-87.6883201925,W,REAR END,chicago_traffic_crashes,2025-08-13 20:54:44.297362
2025-08-12 18:00:00,30,"{'type': 'Point', 'coordinates': [-87.629303030993, 41.886709666707]}",,-87.629303031,W,ANGLE,chicago_traffic_crashes,2025-08-13 20:54:44.297362
2025-08-12 18:00:00,30,"{'type': 'Point', 'coordinates': [-87.755301064659, 41.894833661618]}",,-87.7553010647,W,TURNING,chicago_traffic_crashes,2025-08-13 20:54:44.297362
2025-08-12 18:00:00,30,"{'type': 'Point', 'coordinates': [-87.686331449205, 41.968759267691]}",,-87.6863314492,W,REAR END,chicago_traffic_crashes,2025-08-13 20:54:44.297362
2025-08-12 17:57:00,30,"{'type': 'Point', 'coordinates': [-87.706236282125, 41.889841864346]}",,-87.7062362821,N,REAR END,chicago_traffic_crashes,2025-08-13 20:54:44.297362
2025-08-12 17:57:00,30,"{'type': 'Point', 'coordinates': [-87.707486599652, 41.938498264212]}",,-87.7074865997,N,SIDESWIPE SAME DIRECTION,chicago_traffic_crashes,2025-08-13 20:54:44.297362
2025-08-12 17:50:00,30,"{'type': 'Point', 'coordinates': [-87.639375812581, 41.86717512472]}",,-87.6393758126,S,SIDESWIPE SAME DIRECTION,chicago_traffic_crashes,2025-08-13 20:54:44.297362
2025-08-12 17:41:00,30,"{'type': 'Point', 'coordinates': [-87.645477861288, 41.880404115143]}",,-87.6454778613,W,TURNING,chicago_traffic_crashes,2025-08-13 20:54:44.297362
2025-08-12 17:31:00,30,"{'type': 'Point', 'coordinates': [-87.715092193901, 41.910497286104]}",,-87.7150921939,N,ANGLE,chicago_traffic_crashes,2025-08-13 20:54:44.297362
2025-08-12 17:30:00,30,"{'type': 'Point', 'coordinates': [-87.692823398085, 41.852743121571]}",Y,-87.6928233981,W,TURNING,chicago_traffic_crashes,2025-08-13 20:54:44.297362
2025-08-12 17:30:00,30,"{'type': 'Point', 'coordinates': [-87.675425975855, 41.991440918068]}",Y,-87.6754259759,N,REAR END,chicago_traffic_crashes,2025-08-13 20:54:44.297362
2025-08-12 17:25:00,30,"{'type': 'Point', 'coordinates': [-87.710359878103, 41.917469290584]}",,-87.7103598781,W,REAR END,chicago_traffic_crashes,2025-08-13 20:54:44.297362
2025-08-12 17:20:00,30,"{'type': 'Point', 'coordinates': [-87.566377346728, 41.768964832474]}",,-87.5663773467,S,TURNING,chicago_traffic_crashes,2025-08-13 20:54:44.297362
2025-08-12 17:20:00,30,"{'type': 'Point', 'coordinates': [-87.585659569152, 41.751611847254]}",,-87.5856595692,E,REAR END,chicago_traffic_crashes,2025-08-13 20:54:44.297362
2025-08-12 17:20:00,30,"{'type': 'Point', 'coordinates': [-87.584068183103, 41.750562086663]}",,-87.5840681831,S,REAR END,chicago_traffic_crashes,2025-08-13 20:54:44.297362
2025-08-12 17:15:00,25,"{'type': 'Point', 'coordinates': [-87.661134368369, 42.000324307143]}",,-87.6611343684,W,OTHER OBJECT,chicago_traffic_crashes,2025-08-13 20:54:44.297362
2025-08-12 17:10:00,30,"{'type': 'Point', 'coordinates': [-87.668481506034, 41.752022380595]}",,-87.668481506,S,ANGLE,chicago_traffic_crashes,2025-08-13 20:54:44.297362
2025-08-12 17:10:00,20,"{'type': 'Point', 'coordinates': [-87.668860402909, 41.941565857782]}",,-87.6688604029,N,REAR TO FRONT,chicago_traffic_crashes,2025-08-13 20:54:44.297362
2025-08-12 17:07:00,30,"{'type': 'Point', 'coordinates': [-87.679144407407, 41.960646125882]}",,-87.6791444074,W,SIDESWIPE SAME DIRECTION,chicago_traffic_crashes,2025-08-13 20:54:44.297362
