timestamp,flow_rate,speed,location,direction,data_source,processing_timestamp,latitude,longitude,vehicle_type
2019-11-14 21:45:00,1.0,11.0,GROVE BLVD / RIVERSIDE DR,SOUTHBOUND,austin_traffic,2025-08-13 20:54:44.260300,,,
2019-11-14 21:45:00,1.0,0.0,GROVE BLVD / RIVERSIDE DR,SOUTHBOUND,austin_traffic,2025-08-13 20:54:44.260300,,,
2019-11-14 21:45:00,2.0,0.0,GROVE BLVD / RIVERSIDE DR,SOUTHBOUND,austin_traffic,2025-08-13 20:54:44.260300,,,
2019-11-14 21:45:00,4.0,1.75,GROVE BLVD / RIVERSIDE DR,SOUTHBOUND,austin_traffic,2025-08-13 20:54:44.260300,,,
2019-11-14 21:45:00,1.0,23.0,GROVE BLVD / RIVERSIDE DR,WESTBOUND,austin_traffic,2025-08-13 20:54:44.260300,,,
2019-11-14 21:45:00,2.0,31.5,GROVE BLVD / RIVERSIDE DR,WESTBOUND,austin_traffic,2025-08-13 20:54:44.260300,,,
2019-11-14 21:45:00,1.0,16.0,GROVE BLVD / RIVERSIDE DR,WESTBOUND,austin_traffic,2025-08-13 20:54:44.260300,,,
2019-11-14 21:45:00,58.0,38.81,GROVE BLVD / RIVERSIDE DR,WESTBOUND,austin_traffic,2025-08-13 20:54:44.260300,,,
2019-11-14 21:45:00,91.0,36.527,GROVE BLVD / RIVERSIDE DR,WESTBOUND,austin_traffic,2025-08-13 20:54:44.260300,,,
2019-11-14 22:00:00,8.0,14.625,GROVE BLVD / RIVERSIDE DR,EASTBOUND,austin_traffic,2025-08-13 20:54:44.260300,,,
2019-11-14 22:00:00,6.0,25.0,GROVE BLVD / RIVERSIDE DR,EASTBOUND,austin_traffic,2025-08-13 20:54:44.260300,,,
2019-11-14 22:00:00,4.0,14.5,GROVE BLVD / RIVERSIDE DR,EASTBOUND,austin_traffic,2025-08-13 20:54:44.260300,,,
2019-11-14 22:00:00,4.0,11.5,GROVE BLVD / RIVERSIDE DR,EASTBOUND,austin_traffic,2025-08-13 20:54:44.260300,,,
2019-11-14 22:00:00,52.0,34.827,GROVE BLVD / RIVERSIDE DR,EASTBOUND,austin_traffic,2025-08-13 20:54:44.260300,,,
2019-11-14 22:00:00,25.0,30.72,GROVE BLVD / RIVERSIDE DR,EASTBOUND,austin_traffic,2025-08-13 20:54:44.260300,,,
2019-11-14 22:00:00,6.0,12.833,GROVE BLVD / RIVERSIDE DR,NORTHBOUND,austin_traffic,2025-08-13 20:54:44.260300,,,
2019-11-14 22:00:00,1.0,14.0,GROVE BLVD / RIVERSIDE DR,NORTHBOUND,austin_traffic,2025-08-13 20:54:44.260300,,,
2019-11-14 22:00:00,1.0,0.0,GROVE BLVD / RIVERSIDE DR,NORTHBOUND,austin_traffic,2025-08-13 20:54:44.260300,,,
2019-11-14 22:00:00,1.0,5.0,GROVE BLVD / RIVERSIDE DR,NORTHBOUND,austin_traffic,2025-08-13 20:54:44.260300,,,
2019-11-14 22:00:00,1.0,9.0,GROVE BLVD / RIVERSIDE DR,SOUTHBOUND,austin_traffic,2025-08-13 20:54:44.260300,,,
2019-11-14 22:00:00,1.0,15.0,GROVE BLVD / RIVERSIDE DR,SOUTHBOUND,austin_traffic,2025-08-13 20:54:44.260300,,,
2019-11-14 22:00:00,1.0,7.0,GROVE BLVD / RIVERSIDE DR,SOUTHBOUND,austin_traffic,2025-08-13 20:54:44.260300,,,
2019-11-14 22:00:00,2.0,9.0,GROVE BLVD / RIVERSIDE DR,SOUTHBOUND,austin_traffic,2025-08-13 20:54:44.260300,,,
2019-11-14 22:00:00,5.0,9.8,GROVE BLVD / RIVERSIDE DR,SOUTHBOUND,austin_traffic,2025-08-13 20:54:44.260300,,,
2019-11-14 22:00:00,1.0,13.0,GROVE BLVD / RIVERSIDE DR,WESTBOUND,austin_traffic,2025-08-13 20:54:44.260300,,,
2019-11-14 22:00:00,58.0,35.741,GROVE BLVD / RIVERSIDE DR,WESTBOUND,austin_traffic,2025-08-13 20:54:44.260300,,,
2019-11-14 22:00:00,79.0,34.266,GROVE BLVD / RIVERSIDE DR,WESTBOUND,austin_traffic,2025-08-13 20:54:44.260300,,,
2019-11-14 22:15:00,8.0,9.875,GROVE BLVD / RIVERSIDE DR,EASTBOUND,austin_traffic,2025-08-13 20:54:44.260300,,,
2019-11-14 22:15:00,4.0,35.0,GROVE BLVD / RIVERSIDE DR,EASTBOUND,austin_traffic,2025-08-13 20:54:44.260300,,,
2019-11-14 22:15:00,6.0,12.833,GROVE BLVD / RIVERSIDE DR,EASTBOUND,austin_traffic,2025-08-13 20:54:44.260300,,,
2019-11-14 22:15:00,6.0,20.667,GROVE BLVD / RIVERSIDE DR,EASTBOUND,austin_traffic,2025-08-13 20:54:44.260300,,,
2019-11-14 22:15:00,46.0,30.152,GROVE BLVD / RIVERSIDE DR,EASTBOUND,austin_traffic,2025-08-13 20:54:44.260300,,,
2019-11-14 22:15:00,27.0,23.556,GROVE BLVD / RIVERSIDE DR,EASTBOUND,austin_traffic,2025-08-13 20:54:44.260300,,,
