record_id,atd_device_id,read_date,intersection_name,direction,movement,heavy_vehicle,volume,speed_average,speed_stddev,seconds_in_zone_average,seconds_in_zone_stddev,month,day,year,hour,minute,day_of_week,bin_duration
86401cde6ab65273824b886deac98736,6197,2019-11-14T21:30:00.000,GROVE BLVD / RIVERSIDE DR,SOUTHBOUND,THRU,False,1,0.0,0.0,0.1,0.0,11,14,2019,21,30,4,900
9fc2e0c8955eb7485734448b95443ab3,6197,2019-11-14T21:30:00.000,GROVE BLVD / RIVERSIDE DR,SOUTHBOUND,THRU,True,1,9.0,0.0,0.1,0.0,11,14,2019,21,30,4,900
620e98434344910dd8e3d3102cf43233,6197,2019-11-14T21:30:00.000,GROVE BLVD / RIVERSIDE DR,WESTBOUND,LEFT TURN,False,2,17.0,4.243,3.1,0.141,11,14,2019,21,30,4,900
a0873acba0ecf047f44b93d6bc3f3c93,6197,2019-11-14T21:30:00.000,GROVE BLVD / RIVERSIDE DR,WESTBOUND,LEFT TURN,True,4,5.0,6.0,4.275,6.001,11,14,2019,21,30,4,900
41965478f305cfb89ffc93d7e4c8efda,6197,2019-11-14T21:30:00.000,GROVE BLVD / RIVERSIDE DR,WESTBOUND,RIGHT TURN,False,3,10.0,3.606,1.167,1.762,11,14,2019,21,30,4,900
2a6e949baf21b03ebdfe9a9c203822e5,6197,2019-11-14T21:30:00.000,GROVE BLVD / RIVERSIDE DR,WESTBOUND,THRU,False,75,39.28,13.726,0.991,0.835,11,14,2019,21,30,4,900
cabadd526d2123e5a28d44bfd79423d5,6197,2019-11-14T21:30:00.000,GROVE BLVD / RIVERSIDE DR,WESTBOUND,THRU,True,91,38.297,11.557,0.858,0.881,11,14,2019,21,30,4,900
0f28d5677daaaf5ab2f1ff406771340d,6197,2019-11-14T21:45:00.000,GROVE BLVD / RIVERSIDE DR,EASTBOUND,LEFT TURN,False,10,8.1,8.937,0.46,0.504,11,14,2019,21,45,4,900
6535783885a53337c5150f338f2463e3,6197,2019-11-14T21:45:00.000,GROVE BLVD / RIVERSIDE DR,EASTBOUND,LEFT TURN,True,3,21.667,19.553,1.433,0.777,11,14,2019,21,45,4,900
04aefa80938b2174eb3b61a7b0f4e06c,6197,2019-11-14T21:45:00.000,GROVE BLVD / RIVERSIDE DR,EASTBOUND,RIGHT TURN,False,4,14.0,1.633,4.625,2.098,11,14,2019,21,45,4,900
b2e5af834fe48e7ec3762515dfa6711a,6197,2019-11-14T21:45:00.000,GROVE BLVD / RIVERSIDE DR,EASTBOUND,RIGHT TURN,True,6,18.0,5.899,4.6,4.525,11,14,2019,21,45,4,900
bf4dde5cfcace58c301519a58050586c,6197,2019-11-14T21:45:00.000,GROVE BLVD / RIVERSIDE DR,EASTBOUND,THRU,False,41,35.585,11.016,1.344,0.838,11,14,2019,21,45,4,900
bfc5e1574636565a2c9ea6dfc5641ab5,6197,2019-11-14T21:45:00.000,GROVE BLVD / RIVERSIDE DR,EASTBOUND,THRU,True,38,21.421,9.514,2.584,2.429,11,14,2019,21,45,4,900
755e6b7bacc7807ee16142b4905962a2,6197,2019-11-14T21:45:00.000,GROVE BLVD / RIVERSIDE DR,NORTHBOUND,LEFT TURN,False,13,16.385,3.525,4.038,1.884,11,14,2019,21,45,4,900
9b61c72da37aec7d5e1fc91e961abed1,6197,2019-11-14T21:45:00.000,GROVE BLVD / RIVERSIDE DR,NORTHBOUND,RIGHT TURN,False,2,8.5,2.121,4.65,6.435,11,14,2019,21,45,4,900
4cf77d0665d6b3ed433e1a0d606e9535,6197,2019-11-14T21:45:00.000,GROVE BLVD / RIVERSIDE DR,NORTHBOUND,RIGHT TURN,True,3,12.333,12.014,1.633,2.098,11,14,2019,21,45,4,900
57d240a49ab17cdaf38072f7ec12a710,6197,2019-11-14T21:45:00.000,GROVE BLVD / RIVERSIDE DR,NORTHBOUND,THRU,False,7,13.0,5.26,1.486,1.962,11,14,2019,21,45,4,900
f17f02cfc5dc6190801d1395afed8054,6197,2019-11-14T21:45:00.000,GROVE BLVD / RIVERSIDE DR,NORTHBOUND,THRU,True,1,14.0,0.0,0.4,0.0,11,14,2019,21,45,4,900
